mean sst,stdev sst,n,satellite date,requested lon min,requested lon max,requested lat min,requested lat max,requested date,median sst,mad sst
27.273637930552166,0.07829017960595097,36,2010-12-15,50.734,50.934000000000005,-13.264000000000001,-13.464,14958,27.27190399169922,0.09622840003967284
27.292774772644044,0.11186912221642997,30,2010-12-15,50.708999999999996,50.909,-13.246,-13.446,14959,27.261863708496094,0.10686105995178222
27.298779063754612,0.10407772651147616,36,2010-12-15,50.644,50.844,-13.218,-13.418,14959,27.27190399169922,0.08559574012756348
27.308600584665935,0.10742195095368334,36,2010-12-15,50.574,50.774,-13.177,-13.376999999999999,14959,27.31780433654785,0.11377228889465331
27.319278717041016,0.10615709126679067,36,2010-12-15,50.518,50.718,-13.164,-13.363999999999999,14959,27.32139015197754,0.11005085792541504
27.35961659749349,0.10431388122143533,30,2010-12-15,50.443999999999996,50.644,-13.088000000000001,-13.288,14960,27.37087631225586,0.08134267616271972
27.398587544759113,0.08101253391587736,36,2010-12-15,50.384,50.584,-12.981,-13.181,14960,27.418569564819336,0.08453247413635254
27.320769119262696,0.10117748925636491,30,2010-12-15,50.308,50.508,-12.839,-13.039,14960,27.308839797973633,0.10367126197814941
27.4601895014445,0.1525836127816765,30,2010-12-15,50.211999999999996,50.412,-12.706,-12.905999999999999,14960,27.510009765625,0.07017838325500488
27.48421123292711,0.08210210245405576,36,2010-12-15,50.138,50.338,-12.574,-12.774,14961,27.491722106933594,0.04837860260009765
27.39707717895508,0.10041300838347368,30,2010-12-15,50.077,50.277,-12.466000000000001,-12.666,14961,27.418928146362305,0.11111412391662596
27.40436469184028,0.1080198051154394,36,2010-12-15,50.025,50.225,-12.354000000000001,-12.554,14961,27.415700912475586,0.11271043682098388
27.399037679036457,0.13746312549836037,30,2010-12-15,50.004,50.204,-12.265,-12.465,14961,27.439367294311523,0.1206835178375244
27.369527587890627,0.12617088872337615,25,2010-12-15,50.007999999999996,50.208,-12.129,-12.328999999999999,14962,27.37374496459961,0.13716696853637694
27.449188550313313,0.1524507795656408,36,2010-12-15,49.987,50.187000000000005,-12.030000000000001,-12.23,14962,27.447973251342773,0.16906494827270507
27.517500506507027,0.15893960693002165,36,2010-12-15,49.937999999999995,50.138,-11.931000000000001,-12.131,14962,27.536187171936035,0.15736760845184325
27.541884846157497,0.10295515676951447,36,2010-12-15,49.873,50.073,-11.867,-12.067,14962,27.57132911682129,0.1004814640045166
28.23257395426432,0.22987136727147806,30,2010-12-23,49.804,50.004000000000005,-11.84,-12.04,14963,28.299989700317383,0.20149456100463867
28.198842175801595,0.2661288106035529,30,2010-12-23,49.714999999999996,49.915,-11.788,-11.988,14963,28.297121047973633,0.2737994762420654
28.133741749657524,0.2738270161243749,36,2010-12-23,49.617,49.817,-11.724,-11.924,14963,28.189184188842773,0.33972479553222656
28.201555675930447,0.27124024777095046,36,2010-12-23,49.533,49.733000000000004,-11.657,-11.857,14963,28.277398109436035,0.27113989734649657
28.338279035356308,0.32345410462926155,36,2010-12-23,49.375,49.575,-11.538,-11.738,14964,28.4635066986084,0.21053514976501464
28.350829866197373,0.35590851055202777,36,2010-12-23,49.263999999999996,49.464,-11.473,-11.673,14964,28.494705200195313,0.25838211936950684
28.72081756591797,0.14462067161104514,36,2010-12-23,49.105,49.305,-11.353,-11.552999999999999,14964,28.71488094329834,0.127596160697937
28.42189073562622,0.3456486682220532,36,2010-12-23,48.943,49.143,-11.223,-11.423,14964,28.472472190856934,0.3934211420059204
28.246817959679497,0.31666776320525036,36,2010-12-23,48.725,48.925000000000004,-11.145,-11.344999999999999,14965,28.228629112243652,0.331748886680603
28.8679002655877,0.1869936261125585,36,2010-12-23,48.486,48.686,-11.037,-11.237,14965,28.91712760925293,0.1632155714035034
28.58287896050347,0.38730244232435074,36,2010-12-23,48.291,48.491,-10.985000000000001,-11.185,14965,28.612682342529297,0.48433179817199706
28.38990052541097,0.3122433144749677,30,2010-12-23,48.126,48.326,-10.893,-11.093,14965,28.358440399169922,0.3216478597640991
28.373664583478654,0.21422593413833885,35,2010-12-23,47.870999999999995,48.071,-10.808,-11.008,14966,28.354137420654297,0.12334168281555175
28.41768725713094,0.19665164529640572,36,2010-12-23,47.66,47.86,-10.738,-10.937999999999999,14966,28.386051177978516,0.14833126144409178
28.581504185994465,0.14042360699009535,36,2010-12-23,47.482,47.682,-10.706,-10.905999999999999,14966,28.587221145629883,0.13397575664520264
28.714938278198243,0.10517651920879852,25,2010-12-23,47.299,47.499,-10.712,-10.911999999999999,14966,28.70699119567871,0.11802818069458007
28.717729780409073,0.09308197421429087,36,2010-12-23,47.219,47.419000000000004,-10.693,-10.892999999999999,14967,28.728866577148438,0.0866590061187744
28.779347790612114,0.08719973122056303,36,2010-12-23,47.092,47.292,-10.610000000000001,-10.81,14967,28.78624153137207,0.07868451118469239
28.764665285746258,0.08630041371935789,36,2010-12-23,46.981,47.181000000000004,-10.593,-10.793,14967,28.758987426757813,0.07283654823303222
28.726547050476075,0.0891339459709565,30,2010-12-23,46.870999999999995,47.071,-10.587,-10.786999999999999,14967,28.747512817382812,0.07549471321105956
28.65324290593465,0.17289422684285502,36,2010-12-23,46.723,46.923,-10.618,-10.818,14968,28.66718864440918,0.18288740615844726
28.63240459230211,0.20625665504480512,36,2010-12-23,46.599,46.799,-10.656,-10.856,14968,28.65929889678955,0.19564659805297852
28.73422490225898,0.12222243872584704,36,2010-12-23,46.449999999999996,46.65,-10.698,-10.898,14968,28.73065948486328,0.1376986015319824
28.777763671875,0.11224772576394375,25,2010-12-23,46.256,46.456,-10.712,-10.911999999999999,14968,28.782297134399414,0.11909144668579101
28.764772987365724,0.24082135357603726,30,2010-12-23,46.013999999999996,46.214,-10.756,-10.956,14969,28.738906860351563,0.2727362102508545
